Date,Open,High,Low,Close,Adj Close,Volume
1995-05-04,37.625000,37.625000,37.421875,37.421875,26.782822,55800
1995-05-05,37.250000,37.250000,37.000000,37.187500,26.615080,3000
1995-05-08,37.187500,37.421875,37.187500,37.421875,26.782822,53000
1995-05-09,37.500000,37.500000,37.281250,37.281250,26.682173,3700
1995-05-10,37.609375,37.609375,37.421875,37.515625,26.849916,1300
1995-05-11,37.453125,37.625000,37.453125,37.625000,26.928202,10600
1995-05-12,37.656250,37.828125,37.656250,37.828125,27.073572,2500
1995-05-15,37.890625,38.062500,37.890625,38.062500,27.241306,5400
1995-05-16,38.171875,38.359375,38.109375,38.359375,27.453791,1100
1995-05-17,38.296875,38.375000,38.265625,38.265625,27.386684,42600
1995-05-18,38.203125,38.203125,37.937500,37.937500,27.151867,3700
1995-05-19,37.562500,37.765625,37.562500,37.765625,27.028852,600
1995-05-22,37.906250,38.093750,37.906250,38.062500,27.241306,26500
1995-05-23,38.156250,38.343750,38.109375,38.250000,27.375507,2900
1995-05-24,38.531250,38.531250,38.312500,38.312500,27.420248,8100
1995-05-25,38.156250,38.390625,38.156250,38.390625,27.476154,9200
1995-05-26,38.296875,38.296875,37.921875,37.921875,27.140686,2800
1995-05-30,38.203125,38.218750,38.000000,38.000000,27.196590,6000
1995-05-31,37.921875,38.000000,37.718750,38.000000,27.196590,4000
1995-06-01,38.218750,38.265625,38.187500,38.250000,27.375507,7700
1995-06-02,38.046875,38.359375,38.046875,38.359375,27.453791,3600
1995-06-05,38.453125,38.812500,38.453125,38.812500,27.778105,2300
1995-06-06,38.828125,38.890625,38.718750,38.781250,27.755737,71800
1995-06-07,38.687500,38.703125,38.687500,38.703125,27.699806,300
1995-06-08,38.593750,38.750000,38.593750,38.750000,27.733374,2100
1995-06-09,38.687500,38.687500,38.453125,38.453125,27.520905,700
1995-06-12,38.500000,38.718750,38.500000,38.718750,27.711000,29300
1995-06-13,38.937500,39.015625,38.906250,38.937500,27.867548,3600
1995-06-14,39.015625,39.046875,38.953125,39.046875,27.945826,2500
1995-06-15,39.031250,39.250000,39.031250,39.250000,28.091217,3200
1995-06-16,38.984375,39.156250,38.984375,39.156250,28.092108,900
1995-06-19,39.312500,39.609375,39.250000,39.609375,28.417196,31500
1995-06-20,39.671875,39.718750,39.593750,39.625000,28.428417,2000
1995-06-21,39.859375,39.906250,39.796875,39.828125,28.574135,3300
1995-06-22,39.937500,40.140625,39.906250,40.078125,28.753494,4200
1995-06-23,40.203125,40.203125,40.109375,40.125000,28.787130,115200
1995-06-26,39.875000,39.875000,39.593750,39.593750,28.405991,1900
1995-06-27,39.500000,39.500000,39.109375,39.109375,28.058468,2700
1995-06-28,39.312500,39.421875,39.109375,39.296875,28.192997,4000
1995-06-29,39.437500,39.546875,39.265625,39.421875,28.282679,1800
1995-06-30,39.687500,39.781250,39.578125,39.656250,28.450829,3700
1995-07-03,39.656250,39.671875,39.625000,39.671875,28.462038,900
1995-07-05,39.937500,40.046875,39.906250,39.906250,28.630194,7800
1995-07-06,39.890625,40.140625,39.890625,40.140625,28.798340,1000
1995-07-07,40.343750,40.812500,40.250000,40.812500,29.280359,210300
1995-07-10,40.859375,41.000000,40.703125,40.781250,29.257944,63700
1995-07-11,40.625000,40.796875,40.546875,40.546875,29.089798,51800
1995-07-12,40.765625,41.187500,40.765625,41.031250,29.437313,13700
1995-07-13,41.109375,41.390625,41.031250,41.296875,29.627867,20600
1995-07-14,41.000000,41.187500,40.984375,41.093750,29.482138,21800
1995-07-17,41.250000,41.390625,41.140625,41.140625,29.515774,21700
1995-07-18,41.265625,41.265625,40.734375,40.796875,29.269165,16000
1995-07-19,40.296875,40.312500,39.140625,39.703125,28.484461,23400
1995-07-20,39.984375,40.218750,39.968750,40.125000,28.787130,108600
1995-07-21,40.390625,40.500000,40.250000,40.359375,28.955265,2500
1995-07-24,40.468750,40.656250,40.468750,40.656250,29.168276,2100
1995-07-25,40.734375,41.140625,40.734375,41.140625,29.515774,3400
1995-07-26,41.093750,41.406250,41.093750,41.265625,29.605440,7100
1995-07-27,41.609375,41.609375,41.609375,41.609375,29.852076,2300
1995-07-28,41.718750,41.718750,41.484375,41.609375,29.852076,1600
1995-07-31,41.546875,41.578125,41.390625,41.578125,29.829641,5200
1995-08-01,41.562500,41.562500,41.000000,41.406250,29.706347,8300
1995-08-02,41.578125,41.578125,41.484375,41.515625,29.784807,4500
1995-08-03,40.796875,40.968750,40.515625,40.937500,29.370041,4200
1995-08-04,41.093750,41.109375,41.015625,41.015625,29.426096,2000
1995-08-07,41.046875,41.296875,41.046875,41.281250,29.616667,3300
1995-08-08,41.453125,41.453125,41.187500,41.187500,29.549397,4000
1995-08-09,41.500000,41.500000,41.390625,41.468750,29.751181,1700
1995-08-10,41.515625,41.562500,41.218750,41.328125,29.650284,4700
1995-08-11,41.390625,41.390625,41.203125,41.250000,29.594263,35000
1995-08-14,41.328125,41.562500,41.328125,41.500000,29.773611,3100
1995-08-15,41.625000,41.625000,41.375000,41.609375,29.852076,6500
1995-08-16,41.640625,42.093750,41.640625,42.093750,30.199593,40600
1995-08-17,42.281250,42.468750,42.171875,42.437500,30.446188,17500
1995-08-18,42.687500,42.687500,42.375000,42.500000,30.491034,1300
1995-08-21,42.656250,42.703125,42.140625,42.156250,30.244417,14000
1995-08-22,42.109375,42.281250,42.078125,42.171875,30.255638,6300
1995-08-23,42.312500,42.406250,42.312500,42.406250,30.423777,2000
1995-08-24,42.375000,42.375000,42.093750,42.218750,30.289253,3600
1995-08-25,42.296875,42.390625,42.140625,42.281250,30.334093,40500
1995-08-28,42.312500,42.312500,41.953125,42.156250,30.244417,7300
1995-08-29,42.156250,42.156250,41.500000,41.921875,30.076271,81600
1995-08-30,42.109375,42.171875,42.093750,42.125000,30.222006,55000
1995-08-31,42.281250,42.453125,42.265625,42.390625,30.412571,1200
1995-09-01,42.296875,42.484375,42.296875,42.484375,30.479811,4300
1995-09-05,42.609375,42.968750,42.609375,42.968750,30.827337,53500
1995-09-06,43.015625,43.500000,43.015625,43.500000,31.208466,48900
1995-09-07,43.500000,43.593750,43.390625,43.468750,31.186041,29800
1995-09-08,43.593750,43.640625,43.359375,43.640625,31.309361,7000
1995-09-11,43.750000,43.828125,43.687500,43.687500,31.342993,10700
1995-09-12,43.671875,43.828125,43.656250,43.828125,31.443886,26800
1995-09-13,43.718750,43.875000,43.500000,43.812500,31.432671,25000
1995-09-14,43.984375,43.984375,43.734375,43.734375,31.376617,65700
1995-09-15,43.593750,43.593750,43.375000,43.437500,31.163637,4300
1995-09-18,43.390625,43.390625,43.125000,43.156250,30.961849,3900
1995-09-19,43.515625,43.796875,43.515625,43.796875,31.421474,2800
1995-09-20,43.875000,43.968750,43.828125,43.968750,31.544786,3500
1995-09-21,43.812500,43.812500,43.343750,43.625000,31.298155,6900
1995-09-22,43.296875,43.500000,43.265625,43.468750,31.186041,5000
1995-09-25,43.453125,43.453125,43.000000,43.000000,30.849764,2200
